10001,"Afognak Lake Airport",58.109444,-152.906667
10003,"Bear Creek Mining Strip",65.548056,-161.071667
10004,"Lik Mining Camp",68.083333,-163.166667
10005,"Little Squaw Airport",67.570000,-148.183889
10006,"Kizhuyak Bay",57.745278,-152.882778
10007,"Klawock Seaplane Base",55.554722,-133.101667
10008,"Elizabeth Island Airport",59.156944,-151.829167
10009,"Augustin Island",59.362778,-153.430556
10010,"Columbia County",42.288889,-73.710278
10011,"Grand Canyon West",35.990278,-113.816389
10012,"Blairstown Airport",40.971111,-74.997500
10013,"Crosbyton Municipal",33.623889,-101.240833
10014,"Blair Lake",64.364167,-147.361389
10015,"Deadmans Bay Airport",57.066667,-153.937778
10016,"Hallo Bay Airport",58.457500,-154.023333
10017,"Red Lake Airport",57.277222,-154.342222
10018,"Shell Lake Airport",61.963889,-151.555833
10019,"Navigator Airstrip",65.655556,-165.356389
10020,"Roland Norton Memorial Airstrip",66.765833,-160.152500
10021,"Pillar Bay Airport",56.598056,-134.242778
10022,"Johnstone Point Airport",60.481389,-146.582222
10023,"Tikchik Lodge Airport",59.955556,-158.480556
10024,"Bell Creek Airport",60.783889,-159.540278
10025,"Cinnabar Airport",60.785278,-158.864444
10026,"Mountaintop Mine Airport",61.390278,-157.995556
10027,"Whitebear Airport",61.188889,-159.858333
10028,"Puviaq Airport",70.718611,-154.388333
10029,"Arley Lake Airport",70.746944,-155.360833
10030,"Port Vita Airport",58.065556,-153.072500
10031,"Kantishna Airport",63.541667,-150.993889
10033,"Alpine Airstrip",70.344167,-150.944722
10034,"Serpentine Airport",65.851389,-164.702778
10035,"Driftwood Bay Airport",53.972778,-166.856944
10036,"Bradley Lake Airport",59.776111,-151.963611
10037,"Chilkat Lake Airport",59.331667,-135.896667
10038,"Nugget Creek Airport",59.288333,-136.173889
10039,"Ivotuk Airstrip",68.483333,-155.733333
10040,"Pogo Mines Airport",64.440000,-144.936389
10041,"Ayakulik River Airport",57.253889,-154.422222
10042,"Kiluda Bay Airport",57.323056,-153.149444
10043,"Terror Lake Airport",57.963889,-153.058333
10044,"Selief Bay Airport",58.982778,-153.183333
10047,"Laura Lake Airport",58.361944,-152.312222
